tags|dialogue_act
<attribute>###B-attribute|inform
do###O you###O think###O the###B-refer photo###I-refer is###O too###O bright###O ?###O|inform
yes###O|affirm
<attribute>###B-attribute|inform
yes###O|affirm
<value>###B-value|inform
ok###O|affirm
the###B-refer dog###I-refer|inform
it###O seems###O right###O to###O me###O|affirm
i###O 'm###O finished###O|inform
yes###O|affirm
<value>###B-value|inform
yes###O|affirm
yes###O|affirm
the###B-refer coffee###I-refer cup###I-refer|inform
adjust###B-action <attribute>###B-attribute to###O the###B-refer meter###I-refer|inform
yes###O|affirm
adjust###B-action <attribute>###B-attribute to###B-refer cup###I-refer|inform
no###O|negate
the###B-refer trash###I-refer|inform
add###B-action <attribute>###B-attribute to###O entire###B-refer picutre###I-refer|inform
no###O|negate
add###B-action <attribute>###B-attribute to###O the###B-refer background###I-refer|inform
<value>###B-value|inform
no###O|negate
<value>###B-value|inform
<value>###B-value|inform
the###B-refer cup###I-refer|inform
no###O|negate
add###B-action <attribute>###B-attribute to###O the###B-refer meter###I-refer|inform
<value>###B-value|inform
no###O|negate
add###B-action <attribute>###B-attribute to###O the###B-refer picture###I-refer|inform
hot###B-refer dog###I-refer|inform
<value>###B-value|inform
<attribute>###B-attribute|inform
hotdogs###B-refer|inform
no###O|negate
man###B-refer|inform
no###O|negate
yes###O|affirm
yes###O|affirm
glasses###B-refer|inform
<attribute>###B-attribute|inform
drink###B-refer|inform
cup###B-refer|inform
yes###O|affirm
man###B-refer|inform
background###B-refer|inform
<value>###B-value|inform
shirt###B-refer|inform
hot###B-refer dog###I-refer|inform
hotdog###B-refer|inform
ye###O|affirm
no###O|negate
can###O you###O detect###B-action the###B-refer microwave###I-refer on###I-refer the###I-refer counter###I-refer|inform
no###O|negate
<value>###B-value|inform
can###O you###O change###B-action the###O <attribute>###B-attribute of###O the###B-refer cabinet###I-refer|inform
the###B-refer other###I-refer microwave###I-refer|inform
can###O you###O change###B-action the###O <attribute>###B-attribute of###O the###B-refer picture###I-refer|inform
yes###O|affirm
no###O|negate
no###O|negate
can###O you###O identify###B-action the###B-refer drawer###I-refer|inform
the###B-refer second###I-refer microwave###I-refer|inform
thank###O you###O|affirm
can###O you###O change###B-action the###O <attribute>###B-attribute of###O the###B-refer microwave###I-refer|inform
<attribute>###B-attribute|inform
yes###O|affirm
no###O|negate
can###O you###O tell###B-action me###O all###B-refer items###I-refer in###I-refer the###I-refer picture###I-refer|inform
<attribute>###B-attribute <value>###B-value|inform
can###O you###O change###B-action the###O <attribute>###B-attribute of###O the###B-refer oven###I-refer|inform
<value>###B-value|inform
bear###B-refer|inform
no###O|negate
<attribute>###B-attribute|inform
turn###B-action <attribute>###B-attribute up###O on###O the###B-refer other###I-refer bear###I-refer|inform
black###B-refer bear###I-refer|inform
yes###O|affirm
other###B-refer black###I-refer bear###I-refer|inform
yes###O|affirm
change###B-action <attribute>###B-attribute|inform
no###O|negate
whole###B-refer image###I-refer|inform
bear###B-refer|inform
other###B-refer object###I-refer|inform
black###B-refer bear###I-refer|inform
turn###B-action up###O the###O <attribute>###B-attribute a###O bit###O|inform
<value>###B-value|inform
no###O|negate
bear###B-refer|inform
yes###O|affirm
<value>###B-value|inform
yes###O|affirm
<attribute>###B-attribute up###O|inform
<attribute>###B-attribute|inform
the###B-refer tennis###I-refer rackets###I-refer|inform
contrasst###B-attribute|inform
this###O is###O a###O photo###O of###O tennis###B-refer rackets###I-refer|inform
yes###O|affirm
no###O the###B-refer ball###I-refer is###O to###O the###O left###O|negate
tennis###B-refer racket###I-refer|inform
no###O|negate
<attribute>###B-attribute|inform
<value>###B-value|inform
<value>###B-value|inform
the###B-refer tennis###I-refer ball###I-refer|inform
no###O|negate
all###B-refer of###I-refer the###I-refer tennis###I-refer rackets###I-refer|inform
<attribute>###B-attribute|inform
<attribute>###B-attribute <value>###B-value|inform
good###O job###O !###O|affirm
<attribute>###B-attribute <value>###B-value|inform
hi###O chatbot###O .###O can###O you###O increase###B-action the###O <attribute>###B-attribute ?###O|inform
ecellent###O|affirm
stop###B-refer sign###I-refer|inform
<attribute>###B-attribute <value>###B-value|inform
yes###O|affirm
yes###O|affirm
yes###O|affirm
yes###O|affirm
select###B-action the###B-refer trees###I-refer|inform
the###B-refer street###I-refer|inform
hi###O i###O would###O like###O to###O edit###B-action the###B-refer blue###I-refer objects###I-refer|inform
<attribute>###B-attribute|inform
i###O want###O to###O adjust###B-action the###O <attribute>###B-attribute as###O well###O|inform
no###O|negate
<value>###B-value|inform
yes###O|affirm
yes###O that###O is###O correct###O|affirm
<value>###B-value|inform
yes###O|affirm
yes###O|affirm
yes###O|affirm
<value>###B-value|inform
a###B-refer man###I-refer|inform
<value>###B-value|inform
the###B-refer man###I-refer|inform
<attribute>###B-attribute|inform
the###B-refer man###I-refer|inform
the###B-refer man###I-refer|inform
yes###O|affirm
<attribute>###B-attribute|inform
<attribute>###B-attribute|inform
cycle###B-refer colour###B-attribute|inform
<value>###B-value|inform
<value>###B-value|inform
yes###O|affirm
helmet###B-refer colour###B-attribute|inform
no###O|negate
yes###O|affirm
tyre###B-refer colour###B-attribute|inform
chair###B-refer colour###B-attribute|inform
<attribute>###B-attribute|inform
yes###O|affirm
handle###B-refer colour###O|inform
<attribute>###B-attribute <value>###B-value|inform
handle###B-refer|inform
cycle###B-refer|inform
helmet###B-refer|inform
no###O|negate
<value>###B-value|inform
table###B-refer|inform
the###B-refer black###I-refer hand###I-refer bag###I-refer|inform
the###B-refer plastic###I-refer object###I-refer|inform
no###O|negate
the###B-refer tape###I-refer|inform
<value>###B-value|inform
