tags|dialogue_act
contrast###B-attribute|inform
do###O you###O think###O the###B-refer photo###I-refer is###O too###O bright###O ?###O|inform
yes###O|affirm
hue###B-attribute|inform
yes###O|affirm
-56###B-value|inform
ok###O|affirm
the###B-refer dog###I-refer|inform
it###O seems###O right###O to###O me###O|affirm
i###O 'm###O finished###O|inform
yes###O|affirm
87###B-value|inform
yes###O|affirm
yes###O|affirm
the###B-refer coffee###I-refer cup###I-refer|inform
adjust###B-action lightness###B-attribute to###O the###B-refer meter###I-refer|inform
yes###O|affirm
adjust###B-action lightness###B-attribute to###B-refer cup###I-refer|inform
no###O|negate
the###B-refer trash###I-refer|inform
add###B-action contrast###B-attribute to###O entire###B-refer picutre###I-refer|inform
no###O|negate
add###B-action saturation###B-attribute to###O the###B-refer background###I-refer|inform
50###B-value|inform
no###O|negate
10###B-value|inform
4###B-value|inform
the###B-refer cup###I-refer|inform
no###O|negate
add###B-action hue###B-attribute to###O the###B-refer meter###I-refer|inform
5###B-value|inform
no###O|negate
add###B-action brightness###B-attribute to###O the###B-refer picture###I-refer|inform
hot###B-refer dog###I-refer|inform
20###B-value|inform
brightness###B-attribute|inform
hotdogs###B-refer|inform
no###O|negate
man###B-refer|inform
no###O|negate
yes###O|affirm
yes###O|affirm
glasses###B-refer|inform
lightness###B-attribute|inform
drink###B-refer|inform
cup###B-refer|inform
yes###O|affirm
man###B-refer|inform
background###B-refer|inform
20###B-value|inform
shirt###B-refer|inform
hot###B-refer dog###I-refer|inform
hotdog###B-refer|inform
ye###O|affirm
no###O|negate
can###O you###O detect###B-action the###B-refer microwave###I-refer on###I-refer the###I-refer counter###I-refer|inform
no###O|negate
-75###B-value|inform
can###O you###O change###B-action the###O hue###B-attribute of###O the###B-refer cabinet###I-refer|inform
the###B-refer other###I-refer microwave###I-refer|inform
can###O you###O change###B-action the###O brightness###B-attribute of###O the###B-refer picture###I-refer|inform
yes###O|affirm
no###O|negate
no###O|negate
can###O you###O identify###B-action the###B-refer drawer###I-refer|inform
the###B-refer second###I-refer microwave###I-refer|inform
thank###O you###O|affirm
can###O you###O change###B-action the###O hue###B-attribute of###O the###B-refer microwave###I-refer|inform
brightness###B-attribute|inform
yes###O|affirm
no###O|negate
can###O you###O tell###B-action me###O all###B-refer items###I-refer in###I-refer the###I-refer picture###I-refer|inform
hue###B-attribute 50###B-value|inform
can###O you###O change###B-action the###O hue###B-attribute of###O the###B-refer oven###I-refer|inform
20###B-value|inform
bear###B-refer|inform
no###O|negate
contrast###B-attribute|inform
turn###B-action brightness###B-attribute up###O on###O the###B-refer other###I-refer bear###I-refer|inform
black###B-refer bear###I-refer|inform
yes###O|affirm
other###B-refer black###I-refer bear###I-refer|inform
yes###O|affirm
change###B-action contrast###B-attribute|inform
no###O|negate
whole###B-refer image###I-refer|inform
bear###B-refer|inform
other###B-refer object###I-refer|inform
black###B-refer bear###I-refer|inform
turn###B-action up###O the###O brightness###B-attribute a###O bit###O|inform
10###B-value|inform
no###O|negate
bear###B-refer|inform
yes###O|affirm
20###B-value|inform
yes###O|affirm
brightness###B-attribute up###O|inform
lightness###B-attribute|inform
the###B-refer tennis###I-refer rackets###I-refer|inform
contrasst###B-attribute|inform
this###O is###O a###O photo###O of###O tennis###B-refer rackets###I-refer|inform
yes###O|affirm
no###O the###B-refer ball###I-refer is###O to###O the###O left###O|negate
tennis###B-refer racket###I-refer|inform
no###O|negate
lightness###B-attribute|inform
-20###B-value|inform
25###B-value|inform
the###B-refer tennis###I-refer ball###I-refer|inform
no###O|negate
all###B-refer of###I-refer the###I-refer tennis###I-refer rackets###I-refer|inform
contrast###B-attribute|inform
brightness###B-attribute 25###B-value|inform
good###O job###O !###O|affirm
contrast###B-attribute 25###B-value|inform
hi###O chatbot###O .###O can###O you###O increase###B-action the###O contrast###B-attribute ?###O|inform
ecellent###O|affirm
stop###B-refer sign###I-refer|inform
hue###B-attribute 10###B-value|inform
yes###O|affirm
yes###O|affirm
yes###O|affirm
yes###O|affirm
select###B-action the###B-refer trees###I-refer|inform
the###B-refer street###I-refer|inform
hi###O i###O would###O like###O to###O edit###B-action the###B-refer blue###I-refer objects###I-refer|inform
brightness###B-attribute|inform
i###O want###O to###O adjust###B-action the###O hue###B-attribute as###O well###O|inform
no###O|negate
50###B-value|inform
yes###O|affirm
yes###O that###O is###O correct###O|affirm
75###B-value|inform
yes###O|affirm
yes###O|affirm
yes###O|affirm
80###B-value|inform
a###B-refer man###I-refer|inform
50###B-value|inform
the###B-refer man###I-refer|inform
lightness###B-attribute|inform
the###B-refer man###I-refer|inform
the###B-refer man###I-refer|inform
yes###O|affirm
brightness###B-attribute|inform
contrast###B-attribute|inform
cycle###B-refer colour###B-attribute|inform
30###B-value|inform
70###B-value|inform
yes###O|affirm
helmet###B-refer colour###B-attribute|inform
no###O|negate
yes###O|affirm
tyre###B-refer colour###B-attribute|inform
chair###B-refer colour###B-attribute|inform
brightness###B-attribute|inform
yes###O|affirm
handle###B-refer colour###O|inform
brightness###B-attribute 40###B-value|inform
handle###B-refer|inform
cycle###B-refer|inform
helmet###B-refer|inform
no###O|negate
55###B-value|inform
table###B-refer|inform
the###B-refer black###I-refer hand###I-refer bag###I-refer|inform
the###B-refer plastic###I-refer object###I-refer|inform
no###O|negate
the###B-refer tape###I-refer|inform
77###B-value|inform
make###O an###O adjustment###B-action to###O the###B-refer pair###I-refer of###I-refer shoes###I-refer|inform
no###O|negate
no###O|negate
no###O|negate
no###O|negate
the###B-refer object###I-refer on###I-refer the###I-refer floor###I-refer|inform
do###O you###O see###O the###B-refer pink###I-refer purse###I-refer ?###O|inform
the###B-refer piece###I-refer of###I-refer paper###I-refer|inform
no###O|negate
saturation###B-attribute|inform
the###B-refer box###I-refer|inform
yes###O|affirm
no###O|negate
adjust###B-action the###B-refer roll###I-refer of###I-refer tape###I-refer on###I-refer the###I-refer floor###I-refer|inform
no###O|negate
yes###O|affirm
no###O|negate
adjust###B-action the###B-refer purse###I-refer|inform
advair###B-refer|inform
do###O you###O see###O the###B-refer black###I-refer purse###I-refer ?###O|inform
do###O you###O see###O the###B-refer clipboard###I-refer ?###O|inform
no###O|negate
55###B-value|inform
shoe###B-refer|inform
the###B-refer bottle###I-refer|inform
brightness###B-attribute|inform
no###O|negate
that###O is###O correct###O|affirm
50###B-value|inform
yes###O|affirm
yes###O|affirm
show###B-action me###O the###B-refer cell###I-refer phone###I-refer|inform
yes###O|affirm
hue###B-attribute|inform
a###B-refer woman###I-refer|inform
the###B-refer woman###I-refer|inform
brightness###B-attribute|inform
no###O|negate
what###O is###O in###O the###O photo###O ?###O|inform
-24###B-value|inform
yes###O|affirm
yes###O|affirm
miss###B-action the###O her###B-refer helmet###I-refer|inform
saturation###B-attribute|inform
no###O|negate
man###B-refer|inform
yes###O|affirm
man###B-refer glows###O|inform
remove###B-action the###B-refer men###I-refer|inform
60###O to###O 100###B-value|inform
no###O|negate
skatboard###B-refer|inform
